仕事というものは、手を抜けば抜くほど、やる気をなくすものだ。,THE　LESS　HARD　YOU　WORK、THE　LESS　YOU　WANT　TO　WORK。
帰りが遅くなった言い訳を思いつくのに私は苦労した。,I　HAD　TROUBLE　THINKING　UP　AN　EXCUSE　FOR　COMING　HOME　LATE。
私は仕事で毎日忙しい身ですが、学生時代にもっと旅行をしておけばよかったと思います。,I　AM　SO　BUSY　AT　MY　WORK　EVERY　DAY　THAT　I　WISH　I　HAD　TRAVELED　MORE　WHEN　I　WAS　A　STUDENT。
夢中で本を読んでいたので、何時になったか気が付かなかった。,I　WAS　SO　ABSORBED　IN　READING　A　BOOK　THAT　I　DID　NOT　REALISE　WHAT　TIME　IT　WAS。
彼は40代だと聞いたが、本当かい？年の割には若く見えるよ。,I　HEAR　HE　IS　IN　HIS　FORTIES。IS　THAT　TRUE。HE　LOOKS　YOUNG　FOR　HIS　AGE。
部屋をきちんとしておけば、必要なものがそう苦労せずに見つかります。,IF　YOU　KEEP　YOUR　ROOM　IN　GOOD　ORDER、YOU　CAN　FIND　THINGS　EASILY。
10年ぶりの大雨で、多くの家が被害を受けた。,WE　HAD　THE　HEAVIEST　RAINFALL　IN　TEN　YEARS、AND　MANY　HOUSES　WERE　DAMAGED。
数々欠点があるけれど、彼に引き付けられてしまうのが不思議である。,HE　HAS　A　LOT　OF　FAULTS、BUT　SOMEHOW　I　AM　STILL　ATTRACTED　TO　HIM。
最新の統計によると、その市の人口は200万を超えました。,ACCORDING　TO　THE　LATEST　STATISTICS、THE　POPULATION　OF　THE　CITY　HAS　EXCEEDED　TWO　MILLION。
なぜだかわからないけれども、初めて歩く道は実際以上に遠く感じるものだ。,FOR　SOME　REASON、THE　FIRST　TIME　I　WALK　ALONG　THE　ROAD、IT　SEEMS　MUCH　LONGER　THAN　IT　ACTUALLY　IS。
私たちの社会は急速に高齢化しつつあり、若い労働者の数が着実に減少している。,OUR　SOCIETY　IS　AGING　RAPIDLY、AND　THE　NUMBER　OF　YOUNG　WORKERS　IS　STEADILY　DECREASING。
僕を怒らせたのは、彼女が約束の時間に間に合わないと知りながら電話をかけても来ないことだった。,WHAT　MADE　ME　ANGRY　WAS　THAT　SHE　DID　NOT　EVEN　CALL　ME　THOUGH　SHE　KNEW　SHE　COULD　NOT　COME　ON　TIME。
きちんとものを考えるために必要なことは、批判的な心構えを持つことであるのは言うまでもない。,NEEDLESS　TO　SAY、WHAT　YOU　NEED　TO　THINK　CLEARLY　IS　TO　HAVE　A　CRITICAL　ATTITUDE。
工事が大幅に遅れているので、ほとんど期日に間に合いそうもない。,THE　CONSTRUCTION　IS　FALLING　FAR　BEHIND　SCHEDULE、SO　WE　ARE　NOT　LIKELY　TO　MEET　THE　DEADLINE。
進歩という名のもとに昔のいい建物が壊されているのは恥ずかしいことです。,IT　IS　SHAMEFUL　THAT　FINE　OLD　BUILDINGS　ARE　BEING　PULLED　DOWN　IN　THE　NAME　OF　PROGRESS。
よそ見をしながら運転している人を見ると、ハラハラしてしまう。,I　FEEL　UNEASY　WHEN　I　SEE　PEOPLE　LOOKING　AROUND　WHILE　DRIVING。
小さい頃の私は、知っている人に対してあいさつもろくにできないほどの恥ずかしがり屋でした。,I　WAS　VERY　SHY　AS　A　CHILD、AND　COULD　NOT　EVEN　GREET　PEOPLE　I　KNEW。
生きることが昔ほどのんびりしたものでなくなったことは否定できない。,THERE　IS　NO　DENYING　THAT　LIFE　IS　NOT　AS　LEISURELY　AS　IT　ONCE　WAS。
彼の手紙にちょうど返事を書こうとしていたところへ思いがけなく本人が訪ねてきた。,I　WAS　JUST　ABOUT　TO　WRITE　AN　ANSWER　TO　HIS　LETTER,　WHEN　HE　VISITED　ME　UNEXPECTEDLY。
国連によると、今、全世界の人々の平均年齢は26歳だ。,ACCORDING　TO　THE　UNITED　NATIONS、THE　AVERAGE　AGE　OF　THE　WORLDS　POPULATION　IS　26　YEARS。
人間は今まで森林と調和を保って暮らしてきたが、今や状況は急速に変わりつつある。,HUMAN　BEINGS　HAVE　LIVED　IN　HARMONY　WITH　FORESTS　SO　FAR、BUT　THE　SITUATION　IS　CHANGING　RAPIDLY。
私の祖母は90歳になりますが、まだ目も耳も確かです。,ALTHOUGH　MY　GRANDMOTHER　IS　NINETY、SHE　STILL　HAS　GOOD　EYES　AND　EARS。
われわれが日常使う品物で、デパートで売っていないものはほとんどない。,DEPARTMENT　STORES　CARRY　ALMOST　ALL　OF　OUR　EVERYDAY　NECESSITIES。
自然と調和しながら生きることがどんなに大切かわきまえずに、人間は生命の源泉である自然を破壊している。,PEOPLE　ARE　DESTROYING　NATURE、THE　SOURCE　OF　LIFE、WITHOUT　REALIZING　HOW　IMPORTANT　IT　IS　TO　LIVE　IN　HARMONY　WITH　IT。
